id;price;msrp_price;original_price;good_offer;seller_rating;seller_count_rating;car_rate;consumers_review;n_photos;City MPG;Drivetrain;Engine;Exterior Color;Fuel Type;Highway MPG;Interior Color;Mileage;Stock;Transmission;VIN
394-760049652;$26,131;;;Good Deal;4.8;723;4.6;21 reviews;32;17;AWD;3.7L V6 24V MPFI DOHC;Black;Gasoline;24;Chestnut;28,783;IU4980A;7-Speed Automatic;JN1BJ0RR2GM270215
12-748519177;$17,080;;;;4.8;635;5;33 reviews;12;27;FWD;1.8L I4 16V MPFI DOHC;Cloud White;Gasoline;35;Charcoal;10;KY208727;Automatic CVT;3N1AB7AP3KY208727
66-757497263;$74,680;$75,445;;;4.9;373;5;5 reviews;28;17;4WD;3.5L V6 24V GDI DOHC Twin Turbo;Agate Black Metallic;Gasoline;24;Ebony;15;F92448;10-Speed Automatic;1FMJU2AT9KEA10671
325-760984584;$73,057;$73,057;;;4.2;28;5;1 reviews;15;22;4WD;Intercooled Turbo Diesel V-6 3.0 L/183;Narvik Black;Diesel;28;Ebony/Ebony/Ebony/Ebony;26;KA424437;8-Speed Automatic w/OD;SALWG2RK4KA424437
313-752717304;$34,565;;;;4.8;635;4.6;22 reviews;12;26;AWD;2.5L I4 16V MPFI DOHC;White;Gasoline;33;;10;KC723207;Automatic CVT;5N1AT2MV5KC723207
140-755111520;$34,543;$36,170;;;4.8;550;4.6;22 reviews;3;26;AWD;2.5L I4 16V MPFI DOHC;Caspian Blue;Gasoline;33;;5;N190072;Automatic CVT;5N1AT2MV5KC720646
310-764241721;$19,733;;;Good Deal;4.5;1486;4.6;22 reviews;32;29;AWD;Regular Unleaded I-4 2.0 L/122;Gry/Gray;Gasoline;34;Black;23,828;A3187;6-Speed Automatic w/OD;JM1DKFC79K0403050
20-757775451;$55,875;;;;4.6;48;5;24 reviews;3;19;AWD;2.0L I4 16V GDI DOHC;Crystal White;Gasoline;27;Charcoal;4;19V652;8-Speed Automatic;LYVA22RK4KB232539
361-733821590;$35,750;$35,750;;;4.9;581;4.9;119 reviews;7;20;RWD;2.0L I4 16V GDI DOHC Turbo;Red;Gasoline;30;Black;6;18755;8-Speed Automatic;1G1FD1RX6J0144117
480-758610098;$22,700;;;Great Deal;4.9;121;4.6;42 reviews;30;20;quattro;2.0L 4-Cylinder TFSI;Blue;Gasoline;28;Chestnut Brown;35,011;526;8-Speed Automatic with Tiptronic;WA1LFAFP0FA105558
